"LIQUIDO A GRANEL"
"Navio
Ship";"Bandeira
Flag";"Com/Len
Cal/Draft";"Nav";"Cheg/Arrival
d/m/y";"Carimbo
Notice";"Agência
Office";"Operaç
Operat";"Mercadoria
Goods";"Peso
Weight";"Viagem
Voyage";"DUV";"P";"Terminal";"IMO"
"OLAVO BILAC";"BRASILEIRA";"249
13.1";"Cabo";"19/09/2025";"";"CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.";"EMB
";"OLEO COMBUSTIVEL
";"32000
";"3923-8
2025";"392162025";"B";"ALAMOA";"09547697";""
"STOLT KASHI";"LIBERIANA";"159
8";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"GRAN.LIQUIDO NAO ESPECIF
";"3240
";"4360-7
2025";"436642025";"B";"AGEO(ILHA)";"09266243";""
"YARA AESA";"NORUEGUESA";"180
7";"Long";"19/09/2025";"";"WILHELMSEN PORT SERVICES BRASIL LTDA";"
DESC";"
GRAN.LIQUIDO NAO ESPECIF";"
17500";"3389-1
2025";"339052025";"B";"ULTRAFERTIL";"09725495";""
"MARALTA";"ANTIGUANA";"229
9";"Long";"19/09/2025 05:36:00";"4145-9";"NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP";"
DESC";"
OLEO DIESEL";"
57858";"4262-5
2025";"424062025";"B";"ALAMOA";"09324320";""
"BOW CHAIN";"NORUEGUESA";"183
8";"Long";"20/09/2025 06:00:00";"";"AGENCIA MARITIMA GRANEL LTDA.";"EMB
DESC";"GRAN.LIQUIDO NAO ESPECIF
GRAN.LIQUIDO NAO ESPECIF";"1350
14435";"4322-8
2025";"428302025";"B";"ALA.-I.B.-DOW";"09214317";""
"BOW ENGINEER";"NORUEGUESA";"170
8";"Long";"20/09/2025 07:00:00";"";"AGENCIA MARITIMA GRANEL LTDA.";"
DESC";"
GRAN.LIQUIDO NAO ESPECIF";"
16321";"4291-5
2025";"427732025";"B";"ALA.-I.B.";"09317860";""
"OURO DO BRASIL";"LIBERIANA";"173
9";"Long";"20/09/2025 08:00:00";"";"RELIANCE AGENCIAMENTO E SERVICOS PORTUARIOS LTDA.";"EMB
";"SUCOS CITRICOS A GRANEL
";"13600
";"4335-2
2025";"432552025";"B";"29";"09018646";""
"PREMIUM DO BRASIL";"LIBERIANA";"205
10.5";"Long";"21/09/2025 08:00:00";"";"RELIANCE AGENCIAMENTO E SERVICOS PORTUARIOS LTDA.";"EMB
";"SUCOS CITRICOS A GRANEL
";"32040
";"4324--
2025";"432442025";"B";"29";"09242089";""
"EVGENIA S";"ILHAS MARSHALL";"183
9";"Long";"22/09/2025 13:00:00";"";"NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP";"
DESC";"
OLEO DIESEL";"
38829";"4364-2
2025";"431392025";"B";"ILHA";"09388015";""
"AMAZON VICTORY";"GREGA";"228
11.2";"Cabo";"23/09/2025";"";"CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.";"EMB
";"OLEO COMBUSTIVEL
";"62000
";"4377-7
2025";"438252025";"B";"ALAMOA";"09660358";""
"LUIGI GALVANI";"MALTESA";"180
8";"Long";"23/09/2025";"";"CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.";"
DESC";"
GAS LIQUEFEITO";"
18000";"4002-3
2025";"399252025";"B";"ALAMOA";"09738246";""
"MAERSK MALAGA";"SINGAPURENSE";"183
11";"Cabo";"24/09/2025";"";"CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.";"EMB
";"OLEO COMBUSTIVEL
";"50000
";"4314-5
2025";"432602025";"B";"ALAMOA";"09447768";""
"STOLT PALM";"PORTUGUESA";"185
8";"Long";"24/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"GRAN.LIQUIDO NAO ESPECIF
";"21721
";"4397-8
2025";"437422025";"B";"ALA.-I.B.";"09764506";""
"BOW LYNX";"PANAMENHA";"157
8";"Long";"24/09/2025 06:00:00";"";"AGENCIA MARITIMA GRANEL LTDA.";"
DESC";"
GRAN.LIQUIDO NAO ESPECIF";"
4045";"4292-1
2025";"428282025";"B";"ALA.-I.B.";"09989194";""
"ORANGE OCEAN";"LIBERIANA";"170
9";"Long";"25/09/2025";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
";"SUCOS CITRICOS A GRANEL
";"17000
";"4310-0
2025";"432062025";"B";"CUTRALE";"09675391";""
"CASTILLO DE MACEDA (REB)";"BRASILEIRA";"140
6";"Cabo";"26/09/2025 05:00:00";"";"ORION OPERACOES PORTUARIAS LTDA";"
DESC";"
SODA CAUSTICA";"
7003";"4380-8
2025";"412132025";"B";"ILHA";"09403968";""
"ORANGE BLOSSOM 2";"LIBERIANA";"170
9";"Long";"06/10/2025";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
";"SUCOS CITRICOS A GRANEL
";"17000
";"4318--
2025";"432662025";"B";"CUTRALE";"09675406";""
"TRIGO"
"Navio
Ship";"Bandeira
Flag";"Com/Len
Cal/Draft";"Nav";"Cheg/Arrival
d/m/y";"Carimbo
Notice";"Agência
Office";"Operaç
Operat";"Mercadoria
Goods";"Peso
Weight";"Viagem
Voyage";"DUV";"P";"Terminal";"IMO"
"LOWLANDS ENGEL";"PANAMENHA";"183
6.6";"Long";"25/08/2025 20:36:00";"3771--";"ALPHAMAR AGÊNCIA MARÍTIMA LTDA.";"
DESC";"
TRIGO A GRANEL";"
33000";"3885-9
2025";"380302025";"B";"13/14-RODR/MULT";"09959462";""
"GRANEIS DE ORIGEM VEGETAL"
"Navio
Ship";"Bandeira
Flag";"Com/Len
Cal/Draft";"Nav";"Cheg/Arrival
d/m/y";"Carimbo
Notice";"Agência
Office";"Operaç
Operat";"Mercadoria
Goods";"Peso
Weight";"Viagem
Voyage";"DUV";"P";"Terminal";"IMO"
"ARTVIN";"MALTESA";"229
14.5";"Long";"23/08/2025 18:24:00";"3749-4";"AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.";"EMB
";"MILHO A GRANEL
";"65000
";"3856-9
2025";"387862025";"B";"19";"09595034";""
"MINOAN DIGNITY";"LIBERIANA";"225
13.5";"Long";"28/08/2025 01:30:00";"3813-0";"ALPHAMAR AGÊNCIA MARÍTIMA LTDA.";"EMB
";"MILHO A GRANEL
";"65800
";"3959-2
2025";"389862025";"B";"SUG.26";"09294484";""
"IONIC KALLIRHOE";"ILHAS MARSHALL";"229
13.8";"Long";"29/08/2025 23:42:00";"3844-0";"ALPHAMAR AGÊNCIA MARÍTIMA LTDA.";"EMB
";"PELLETS A GRANEL
";"68500
";"3687-2
2025";"366842025";"B";"38";"09796195";""
"WHEAT WEIFANG";"ILHAS MARSHALL";"229
13";"Long";"07/09/2025 00:12:00";"3962-4";"FERTIMPORT S/A.";"EMB
";"SOJA A GRANEL
";"66000
";"4031-3
2025";"405282025";"B";"ULTRAFERTIL";"09883766";""
"MAHA ROOS";"INDIANA";"225
13.5";"Long";"09/09/2025 15:00:00";"4001--";"AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.";"EMB
";"MILHO A GRANEL
";"68520
";"4158-3
2025";"416682025";"B";"12A-13/14-20/21";"09231004";""
"SAKIZAYA ZEST";"PANAMENHA";"229
12.2";"Long";"09/09/2025 17:00:00";"4004-5";"FERTIMPORT S/A.";"EMB
";"MILHO A GRANEL
";"71500
";"4116-9
2025";"404642025";"B";"39";"09913030";""
"STAR CHARIS";"LIBERIANA";"229
13.5";"Long";"10/09/2025 13:48:00";"4015--";"AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.";"EMB
";"MILHO A GRANEL
";"70000
";"4159-0
2025";"416822025";"B";"19";"09615418";""
"PERSEFS";"LIBERIANA";"225
13.2";"Long";"11/09/2025 10:12:00";"4024-0";"ALPHAMAR AGÊNCIA MARÍTIMA LTDA.";"EMB
";"MILHO A GRANEL
";"65000
";"4098--
2025";"399112025";"B";"16/17-19";"09663350";""
"JEN LR";"PANAMENHA";"229
13.5";"Long";"11/09/2025 16:30:00";"4026-6";"AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.";"EMB
";"MILHO A GRANEL
";"65000
";"4253-6
2025";"424942025";"B";"35/37";"09947249";""
"TRINITY ISLAND";"HONG KONG";"229
13.5";"Long";"12/09/2025 05:05:00";"4032--";"AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.";"EMB
";"MILHO A GRANEL
";"21850
";"4255-9
2025";"425992025";"B";"TEG";"09971903";""
"AVAX";"CIPRIOTA";"225
13.5";"Long";"14/09/2025 08:12:00";"4063--";"AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.";"EMB
";"MILHO A GRANEL
";"68500
";"4265-4
2025";"426382025";"B";"19";"09289312";""
"BAIACU";"ILHAS MARSHALL";"228
12";"Long";"15/09/2025 22:00:00";"4085-1";"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO";"EMB
";"SOJA A GRANEL
";"67250
";"4211-1
2025";"418662025";"B";"38";"09872353";""
"OCEAN ANNA";"PANAMENHA";"229
13.1";"Long";"16/09/2025 13:36:00";"4100-9";"ALPHAMAR AGÊNCIA MARÍTIMA LTDA.";"EMB
";"MILHO A GRANEL
";"67500
";"4259-4
2025";"422992025";"B";"20/21";"09461166";""
"MARINA I";"ILHAS MARSHALL";"229
12.8";"Long";"17/09/2025 19:30:00";"4126-2";"ALPHAMAR AGÊNCIA MARÍTIMA LTDA.";"EMB
";"PELLETS A GRANEL
";"64100
";"4317-4
2025";"425012025";"B";"35/37";"09687837";""
"GREAT TRADER";"PANAMENHA";"229
13";"Long";"18/09/2025 02:12:00";"4131-9";"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO";"EMB
";"SOJA A GRANEL
";"69000
";"4212-8
2025";"418752025";"B";"ULTRAFERTIL";"09937579";""
"ARIANA";"ILHAS MARSHALL";"225
13";"Long";"19/09/2025";"";"FERTIMPORT S/A.";"EMB
";"MILHO A GRANEL
";"71500
";"4280-3
2025";"426612025";"B";"35/37";"09316048";""
"DELIGHT DIVA";"PANAMENHA";"229
13";"Long";"19/09/2025";"";"ALPHAMAR AGÊNCIA MARÍTIMA LTDA.";"EMB
";"MILHO A GRANEL
";"67500
";"4260-2
2025";"424182025";"B";"39";"09959761";""
"KM KEELUNG";"LIBERIANA";"229
9";"Long";"19/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
";"SOJA A GRANEL
";"63000
";"2607-5
2025";"256592025";"B";"39";"09461087";""
